"ICT산업별(1)",ICT산업별(2),ICT산업별(3),1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"ICT산업별(1)",ICT산업별(2),ICT산업별(3),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$)
"합계",소계,소계,51930,32366,67271,44181,52841,35402,62113,39648,76324,45940,99803,52611,106934,57780,115839,63110,131031,69795,133341,73604,123383,62140,157058,75720,160717,81667,160504,78081,179864,81917,185048,88227,182439,91469,173126,89926,210237,102169,234264,107215,192053,108459,199822,112687,246095,135085,254718,152564,205610,136593
"정보통신방송기기",소계,소계,51872,32366,67144,44180,52623,35383,61701,38802,75813,45884,99189,52552,106219,57739,114978,63036,130098,69728,131164,73525,120949,62020,153941,75619,156617,81539,155236,77954,172683,81804,176233,88168,172866,91329,162460,89806,197570,102067,220341,107117,176877,108362,183508,112628,227608,135024,233232,152491,186750,136527
"정보통신방송기기",전자부품,소계,25700,20258,31898,25089,18899,19578,21709,22026,25674,26840,35526,30639,44120,32832,53641,35091,65480,41519,63729,43516,64298,37366,93848,44411,93572,46636,97596,46882,106780,50114,107749,50700,104410,50998,98972,47603,140325,54402,166047,58630,126791,58402,131075,61644,165059,74610,166917,89481,130851,75760
"정보통신방송기기",전자부품,반도체,18826,15970,25980,19810,14240,15471,16631,17476,19535,21328,26516,23618,29986,25133,33230,26399,39045,30817,32793,32018,31042,26619,50707,31137,50146,32483,50430,32242,57143,34619,62647,36461,62916,38278,62225,36608,99673,41422,128145,44946,95161,47397,100251,50627,128699,61719,130865,75146,99704,62794
"정보통신방송기기",전자부품,평판디스플레이,2426,921,336,1250,308,1018,359,1302,1331,1942,3629,2704,9328,2937,15540,3358,21593,4917,25712,5314,28104,5359,36319,6545,35819,6734,38291,6671,39266,6735,35863,6382,32843,5943,28098,4846,30291,6128,27760,6744,21837,4153,20713,3818,24657,3869,24413,4970,20926,4613
"정보통신방송기기",전자부품,센서,15,147,20,174,19,145,23,144,32,258,61,407,82,530,128,565,206,823,335,1100,456,889,664,1088,834,1140,1156,1205,1226,1526,552,1071,287,504,74,91,58,103,69,89,61,86,58,94,66,103,73,93,58,72
"정보통신방송기기",전자부품,전자관,3094,1183,3574,1201,2743,763,2925,680,2734,502,2766,437,1899,326,1357,237,720,163,475,122,315,156,279,118,188,80,46,79,27,62,24,70,11,69,9,66,6,67,7,66,5,41,4,56,5,64,6,75,10,73
"정보통신방송기기",전자부품,수동부품,450,803,802,1156,591,938,569,991,579,1055,609,1175,612,1200,685,1273,899,1327,1011,1240,1087,1151,1514,1456,1528,1545,1422,1564,1537,1738,1547,1585,1565,1493,1448,1522,1847,1830,2049,2047,1907,1978,2032,2229,2344,2800,2148,2563,2310,2424
"정보통신방송기기",전자부품,PCB,570,399,780,511,614,429,726,518,891,701,1221,1052,1347,1279,1736,1637,1934,1677,2229,1785,2097,1446,2813,1930,3375,2279,4279,2697,5183,2819,4687,2585,4336,2377,4391,2177,5524,2398,4996,2228,4799,2257,5032,2364,5790,3101,5952,3561,4646,2861
"정보통신방송기기",전자부품,접속부품,256,758,333,892,315,743,393,842,491,980,634,1160,783,1336,882,1517,992,1697,1089,1842,1135,1658,1473,2004,1570,2106,1854,2131,2266,2359,2246,2307,2292,2123,2571,2074,2745,2192,2841,2232,2861,2217,2853,2169,3338,2518,3312,2375,3063,2304
"정보통신방송기기",전자부품,기타 전자 부품,64,78,73,95,68,71,83,73,80,75,89,85,84,90,83,106,91,98,85,95,62,87,79,132,113,269,117,292,133,256,183,239,160,210,155,220,181,263,180,276,159,274,132,287,160,436,148,697,133,619
"정보통신방송기기",컴퓨터 및 주변기기,소계,10971,4597,15194,7861,11780,5985,13460,5744,15459,5726,17505,6432,14361,7922,12724,9161,14054,10119,10950,9959,8197,8257,9336,11096,9428,10890,8804,9688,8153,9474,8180,9994,8111,9286,8764,9948,9602,11879,11269,12850,9090,11510,13907,13425,17386,16749,17293,17454,9080,14276
"정보통신방송기기",컴퓨터 및 주변기기,컴퓨터,5133,2491,8114,4522,5456,3103,6167,2632,6854,2698,6987,3028,4206,3928,3403,4657,2363,4496,1967,4176,1541,3791,2099,5326,2351,5051,2423,4567,1997,4654,1313,4693,877,4483,838,4912,1246,6177,1537,6618,1980,6939,2061,7954,2293,10233,1019,10112,1068,7997
"정보통신방송기기",컴퓨터 및 주변기기,주변기기,5838,2106,7080,3339,6324,2882,7293,3112,8605,3028,10518,3405,10155,3994,9321,4504,11691,5623,8983,5783,6656,4465,7237,5770,7077,5838,6380,5120,6156,4821,6867,5301,7235,4804,7926,5036,8356,5702,9732,6232,7109,4571,11846,5472,15093,6516,16274,7341,8011,6279
"정보통신방송기기",통신 및 방송기기,소계,5765,2585,8117,4434,10058,3298,13577,3143,18552,3252,25993,3694,27681,4098,27407,5089,31047,5679,36454,6659,31341,5552,28138,6959,28207,9595,23271,6326,27950,6834,30041,10867,33164,13872,30009,14706,22617,15759,17576,13914,14442,15412,13677,14509,16741,16362,17648,15182,15328,13822
"정보통신방송기기",통신 및 방송기기,통신기기,5557,2471,7788,4222,9649,3076,12926,2912,17938,2975,25329,3346,27053,3743,26760,4747,30555,5500,35900,6500,30851,5413,27572,6771,27577,9387,22617,6142,27349,6645,29497,10617,32790,13689,29499,14479,22265,15475,17150,13636,14054,15059,13208,14033,16171,15815,17573,15010,15243,13623
"정보통신방송기기",통신 및 방송기기,방송용장비,208,114,329,212,409,222,651,231,614,277,664,348,628,355,647,342,492,179,554,159,490,139,566,188,630,208,654,184,601,189,544,250,374,183,510,227,352,284,426,278,388,352,469,476,571,547,74,172,85,199
"정보통신방송기기",영상 및 음향기기,소계,4850,1112,6370,1655,6000,1739,6645,2044,8135,2482,10710,2926,10147,2798,9973,2633,8866,2801,8429,3080,6059,2480,8118,2720,7851,2584,6638,2637,8323,2544,8049,2633,6590,2499,5244,2667,3791,2871,3080,3020,4439,4576,2627,3378,2367,3915,2153,3596,1855,3259
"정보통신방송기기",영상 및 음향기기,영상기기,2982,203,3724,389,3628,459,4283,700,5989,980,8316,1260,7963,1154,8280,1078,7519,997,7085,1112,4926,881,6927,1042,6621,949,5250,1056,6683,947,6489,940,5302,976,4100,1146,2645,1303,2059,1461,3440,3234,1784,2144,1528,2464,1250,2088,1022,1781
"정보통신방송기기",영상 및 음향기기,음향기기,1770,875,2589,1237,2308,1249,2340,1263,2121,1435,2378,1596,2163,1544,1670,1498,1309,1494,1289,1567,1004,1259,1082,1368,1152,1403,1331,1322,1574,1427,1508,1455,1224,1348,1069,1320,1075,1294,969,1206,960,1073,802,1004,802,1099,840,1174,770,1182
"정보통신방송기기",영상 및 음향기기,기타영상음향기기,98,34,57,29,64,31,22,81,25,67,16,70,21,100,23,57,38,310,55,401,129,340,109,310,78,232,57,259,66,170,52,238,64,175,75,201,71,274,52,353,39,269,40,231,38,353,62,334,63,296
"정보통신방송기기",정보통신응용기반기기,소계,4586,3813,5565,5142,5887,4783,6309,5846,7994,7584,9456,8861,9911,10088,11232,11062,10651,9612,11603,10311,11055,8366,14501,10434,17559,11834,18928,12422,21476,12837,22213,13974,20590,14674,19472,14881,21234,17156,22369,18703,22115,18461,22222,19672,26055,23388,29222,26778,29635,29410
"정보통신방송기기",정보통신응용기반기기,가정용전기기기,2938,214,3498,343,3493,358,4030,467,4510,538,4933,556,4384,696,4382,792,4345,880,4010,938,3722,752,4510,899,4762,1123,4659,1285,4953,1505,5165,1744,4528,1920,4344,2293,4315,2942,3568,3495,3604,3603,4197,3945,5709,4560,5863,4639,5672,4459
"정보통신방송기기",정보통신응용기반기기,사무용기기,158,115,268,191,236,168,204,251,294,217,424,228,411,281,417,370,484,268,511,215,350,171,445,136,483,105,454,75,458,52,445,47,352,43,333,50,237,37,263,36,328,44,341,32,427,33,343,37,317,37
"정보통신방송기기",정보통신응용기반기기,의료용기기,165,372,252,497,269,508,241,578,304,679,405,781,518,898,636,1135,718,1343,896,1355,836,1142,1045,1429,1178,1540,1407,1528,1507,1524,1675,1488,1681,1537,1721,1614,1913,1741,2084,1945,2133,2095,2041,2183,2564,2287,2791,2379,2890,2501
"정보통신방송기기",정보통신응용기반기기,측정제어분석기기,263,1705,344,2170,323,1977,360,2241,521,2618,677,3263,859,4004,1079,4192,1271,4225,1394,4693,1322,3648,1832,4797,2587,5519,3114,5907,3576,5859,4019,6626,4276,6824,4723,6775,5696,7474,6020,7441,5525,7395,5208,7608,5435,8253,6636,8586,7428,8633
"정보통신방송기기",정보통신응용기반기기,전기장비,1062,1407,1203,1941,1567,1772,1474,2308,2365,3532,3016,4033,3738,4209,4719,4573,3834,2896,4792,3111,4824,2652,6670,3172,8549,3548,9295,3627,10983,3896,10909,4069,9753,4350,8352,4148,9073,4962,10433,5786,10524,5324,10435,5905,11920,8256,13578,11088,13306,13727
"정보통신방송기기",정보통신응용기반기기,기타 정보통신응용기반기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,48,22,53
"정보통신방송서비스",소계,소계,-,-,-,-,21,19,27,846,36,55,70,59,122,43,134,73,151,65,160,78,170,122,171,102,203,128,217,128,288,114,314,59,302,140,347,121,286,102,327,98,367,97,492,59,433,61,561,73,667,65
"정보통신방송서비스",통신서비스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"정보통신방송서비스",방송서비스,소계,-,-,-,-,21,19,27,846,36,55,70,59,122,43,134,73,151,65,160,78,170,122,171,102,203,128,217,128,288,114,314,59,302,140,347,121,286,102,327,98,367,97,492,59,433,61,561,73,667,65
"정보통신방송서비스",정보서비스,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"소프트웨어 및 디지털콘텐츠",소계,소계,57,-,127,-,196,-,386,-,475,-,545,-,592,-,727,-,781,-,2016,-,2264,-,2945,-,3896,-,5051,-,6892,-,8502,-,9271,-,10318,-,12381,-,13596,-,14809,-,15822,-,18053,-,20924,-,18193,-
"소프트웨어 및 디지털콘텐츠",패키지소프트웨어,소계,22,-,38,-,74,-,87,-,76,-,113,-,114,-,117,-,148,-,134,-,160,-,304,-,330,-,866,-,2105,-,2807,-,2834,-,936,-,1032,-,1044,-,1237,-,1231,-,1169,-,1564,-,1456,-
"소프트웨어 및 디지털콘텐츠",패키지소프트웨어,시스템소프트웨어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,-,131,-,160,-,229,-,297,-,193,-,194,-,177,-,284,-,452,-,499,-,514,-
"소프트웨어 및 디지털콘텐츠",패키지소프트웨어,응용소프트웨어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750,-,1974,-,2647,-,2605,-,639,-,839,-,850,-,1060,-,947,-,717,-,1065,-,942,-
"소프트웨어 및 디지털콘텐츠",게임소프트웨어,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1094,-,1241,-,1606,-,2378,-,2639,-,2716,-,2973,-,3215,-,3277,-,5197,-,6235,-,6340,-,6720,-,7272,-,7055,-,6630,-
"소프트웨어 및 디지털콘텐츠",IT서비스,소계,35,-,89,-,122,-,299,-,399,-,432,-,478,-,610,-,633,-,788,-,863,-,1035,-,1188,-,1546,-,2071,-,2722,-,3222,-,6105,-,6152,-,6317,-,7231,-,7872,-,9612,-,12305,-,10107,-
"소프트웨어 및 디지털콘텐츠",IT서비스,IT컨설팅 및 시스템 개발,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1091,-,1429,-,1837,-,2138,-,2345,-,1858,-,1824,-,2067,-,1621,-,2263,-,1638,-,2813,-
"소프트웨어 및 디지털콘텐츠",IT서비스,IT시스템 관리 및 지원서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,454,-,632,-,884,-,980,-,3755,-,4293,-,4491,-,5160,-,6237,-,7338,-,10625,-,7266,-
"소프트웨어 및 디지털콘텐츠",IT서비스,기타 IT서비스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,10,-,1,-,104,-,5,-,1,-,2,-,4,-,15,-,11,-,42,-,28,-
"소프트웨어 및 디지털콘텐츠",디지털콘텐츠 개발 및 제작,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
