도메인,날짜,지수종류,돈
전기기기 및 장치,2023-03-01,원지수 (2020=100),119.8
전기기기 및 장치,2023-03-01,계절조정지수 (2020=100),116.7
전기기기 및 장치,2023-04-01,원지수 (2020=100),109.9
전기기기 및 장치,2023-04-01,계절조정지수 (2020=100),112.4
전기기기 및 장치,2023-05-01,원지수 (2020=100),116.3
전기기기 및 장치,2023-05-01,계절조정지수 (2020=100),121.1
전기기기 및 장치,2023-06-01,원지수 (2020=100),120.6
전기기기 및 장치,2023-06-01,계절조정지수 (2020=100),120.3
전기기기 및 장치,2023-07-01,원지수 (2020=100),119.9
전기기기 및 장치,2023-07-01,계절조정지수 (2020=100),122.3
전기기기 및 장치,2023-08-01,원지수 (2020=100),126.7
전기기기 및 장치,2023-08-01,계절조정지수 (2020=100),131.5
전기기기 및 장치,2023-09-01,원지수 (2020=100),115.2
전기기기 및 장치,2023-09-01,계절조정지수 (2020=100),117.8
전기기기 및 장치,2023-10-01,원지수 (2020=100),128.5
전기기기 및 장치,2023-10-01,계절조정지수 (2020=100),125.9
전기기기 및 장치,2023-11-01,원지수 (2020=100),137.6
전기기기 및 장치,2023-11-01,계절조정지수 (2020=100),125.9
전기기기 및 장치,2023-12-01,원지수 (2020=100),153.1
전기기기 및 장치,2023-12-01,계절조정지수 (2020=100),124.6
전기기기 및 장치,2024-01-01,원지수 (2020=100),107.4
전기기기 및 장치,2024-01-01,계절조정지수 (2020=100),118.8
전기기기 및 장치,2024-02-01,원지수 (2020=100),95.4
전기기기 및 장치,2024-02-01,계절조정지수 (2020=100),116.3
전기기기 및 장치,2024-03-01,원지수 (2020=100),121.7
전기기기 및 장치,2024-03-01,계절조정지수 (2020=100),121.4
전기기기 및 장치,2024-04-01,원지수 (2020=100),124.0
전기기기 및 장치,2024-04-01,계절조정지수 (2020=100),124.5
전기기기 및 장치,2024-05-01,원지수 (2020=100),121.1
전기기기 및 장치,2024-05-01,계절조정지수 (2020=100),121.2
전기기기 및 장치,2024-06-01,원지수 (2020=100),127.1
전기기기 및 장치,2024-06-01,계절조정지수 (2020=100),126.6
전기기기 및 장치,2024-07-01,원지수 (2020=100),114.9
전기기기 및 장치,2024-07-01,계절조정지수 (2020=100),114.9
전기기기 및 장치,2024-08-01,원지수 (2020=100),108.6
전기기기 및 장치,2024-08-01,계절조정지수 (2020=100),112.6
전기기기 및 장치,2024-09-01,원지수 (2020=100),113.6
전기기기 및 장치,2024-09-01,계절조정지수 (2020=100),116.2
전기기기 및 장치,2024-10-01,원지수 (2020=100),118.7
전기기기 및 장치,2024-10-01,계절조정지수 (2020=100),116.4
전기기기 및 장치,2024-11-01,원지수 (2020=100),125.7
전기기기 및 장치,2024-11-01,계절조정지수 (2020=100),114.7
전기기기 및 장치,2024-12-01,원지수 (2020=100),162.2
전기기기 및 장치,2024-12-01,계절조정지수 (2020=100),131.1
전기기기 및 장치,2025-01-01,원지수 (2020=100),88.4
전기기기 및 장치,2025-01-01,계절조정지수 (2020=100),101.1
전기기기 및 장치,2025-02-01,원지수 (2020=100),106.6
전기기기 및 장치,2025-02-01,계절조정지수 (2020=100),124.2
전기기기 및 장치,2025-03-01,원지수 (2020=100),145.4
전기기기 및 장치,2025-03-01,계절조정지수 (2020=100),142.0
전기기기 및 장치,2025-04-01,원지수 (2020=100),119.0
전기기기 및 장치,2025-04-01,계절조정지수 (2020=100),124.8
전기기기 및 장치,2025-05-01,원지수 (2020=100),112.5
전기기기 및 장치,2025-05-01,계절조정지수 (2020=100),115.0
전기기기 및 장치,2025-06-01,원지수 (2020=100),129.0
전기기기 및 장치,2025-06-01,계절조정지수 (2020=100),125.8
전기기기 및 장치,2025-07-01,원지수 (2020=100),126.3
전기기기 및 장치,2025-07-01,계절조정지수 (2020=100),126.6
컴퓨터사무용기계,1995-02-01,원지수 (2020=100),15.3
컴퓨터사무용기계,1995-02-01,계절조정지수 (2020=100),15.7
컴퓨터사무용기계,1995-03-01,원지수 (2020=100),18.0
컴퓨터사무용기계,1995-03-01,계절조정지수 (2020=100),16.0
컴퓨터사무용기계,1995-04-01,원지수 (2020=100),17.9
컴퓨터사무용기계,1995-04-01,계절조정지수 (2020=100),17.2
컴퓨터사무용기계,1995-05-01,원지수 (2020=100),18.8
컴퓨터사무용기계,1995-05-01,계절조정지수 (2020=100),18.6
컴퓨터사무용기계,1995-06-01,원지수 (2020=100),19.4
컴퓨터사무용기계,1995-06-01,계절조정지수 (2020=100),19.7
컴퓨터사무용기계,1995-07-01,원지수 (2020=100),18.4
컴퓨터사무용기계,1995-07-01,계절조정지수 (2020=100),19.7
컴퓨터사무용기계,1995-08-01,원지수 (2020=100),17.5
컴퓨터사무용기계,1995-08-01,계절조정지수 (2020=100),18.5
컴퓨터사무용기계,1995-09-01,원지수 (2020=100),17.1
컴퓨터사무용기계,1995-09-01,계절조정지수 (2020=100),19.2
컴퓨터사무용기계,1995-10-01,원지수 (2020=100),18.4
컴퓨터사무용기계,1995-10-01,계절조정지수 (2020=100),19.4
컴퓨터사무용기계,1995-11-01,원지수 (2020=100),20.5
컴퓨터사무용기계,1995-11-01,계절조정지수 (2020=100),20.2
컴퓨터사무용기계,1995-12-01,원지수 (2020=100),23.4
컴퓨터사무용기계,1995-12-01,계절조정지수 (2020=100),20.6
컴퓨터사무용기계,1996-01-01,원지수 (2020=100),18.5
컴퓨터사무용기계,1996-01-01,계절조정지수 (2020=100),18.2
컴퓨터사무용기계,1996-02-01,원지수 (2020=100),24.7
컴퓨터사무용기계,1996-02-01,계절조정지수 (2020=100),25.4
컴퓨터사무용기계,1996-03-01,원지수 (2020=100),25.8
컴퓨터사무용기계,1996-03-01,계절조정지수 (2020=100),23.2
컴퓨터사무용기계,1996-04-01,원지수 (2020=100),25.0
컴퓨터사무용기계,1996-04-01,계절조정지수 (2020=100),24.1
컴퓨터사무용기계,1996-05-01,원지수 (2020=100),24.2
컴퓨터사무용기계,1996-05-01,계절조정지수 (2020=100),24.1
컴퓨터사무용기계,1996-06-01,원지수 (2020=100),24.5
컴퓨터사무용기계,1996-06-01,계절조정지수 (2020=100),25.0
컴퓨터사무용기계,1996-07-01,원지수 (2020=100),22.3
컴퓨터사무용기계,1996-07-01,계절조정지수 (2020=100),23.6
컴퓨터사무용기계,1996-08-01,원지수 (2020=100),24.8
컴퓨터사무용기계,1996-08-01,계절조정지수 (2020=100),26.2
컴퓨터사무용기계,1996-09-01,원지수 (2020=100),20.9
컴퓨터사무용기계,1996-09-01,계절조정지수 (2020=100),24.0
컴퓨터사무용기계,1996-10-01,원지수 (2020=100),23.5
컴퓨터사무용기계,1996-10-01,계절조정지수 (2020=100),24.5
컴퓨터사무용기계,1996-11-01,원지수 (2020=100),24.2
컴퓨터사무용기계,1996-11-01,계절조정지수 (2020=100),23.8
컴퓨터사무용기계,1996-12-01,원지수 (2020=100),29.4
컴퓨터사무용기계,1996-12-01,계절조정지수 (2020=100),25.8
컴퓨터사무용기계,1997-01-01,원지수 (2020=100),25.4
컴퓨터사무용기계,1997-01-01,계절조정지수 (2020=100),25.0
컴퓨터사무용기계,1997-02-01,원지수 (2020=100),22.8
컴퓨터사무용기계,1997-02-01,계절조정지수 (2020=100),23.9
컴퓨터사무용기계,1997-03-01,원지수 (2020=100),27.7
컴퓨터사무용기계,1997-03-01,계절조정지수 (2020=100),24.8
컴퓨터사무용기계,1997-04-01,원지수 (2020=100),26.2
컴퓨터사무용기계,1997-04-01,계절조정지수 (2020=100),24.8
컴퓨터사무용기계,1997-05-01,원지수 (2020=100),25.2
컴퓨터사무용기계,1997-05-01,계절조정지수 (2020=100),25.5
컴퓨터사무용기계,1997-06-01,원지수 (2020=100),24.1
컴퓨터사무용기계,1997-06-01,계절조정지수 (2020=100),24.6
컴퓨터사무용기계,1997-07-01,원지수 (2020=100),23.8
컴퓨터사무용기계,1997-07-01,계절조정지수 (2020=100),25.3
컴퓨터사무용기계,1997-08-01,원지수 (2020=100),22.6
컴퓨터사무용기계,1997-08-01,계절조정지수 (2020=100),24.3
컴퓨터사무용기계,1997-09-01,원지수 (2020=100),21.2
컴퓨터사무용기계,1997-09-01,계절조정지수 (2020=100),23.9
컴퓨터사무용기계,1997-10-01,원지수 (2020=100),24.9
컴퓨터사무용기계,1997-10-01,계절조정지수 (2020=100),25.8
컴퓨터사무용기계,1997-11-01,원지수 (2020=100),25.2
컴퓨터사무용기계,1997-11-01,계절조정지수 (2020=100),25.2
컴퓨터사무용기계,1997-12-01,원지수 (2020=100),27.5
컴퓨터사무용기계,1997-12-01,계절조정지수 (2020=100),24.0
컴퓨터사무용기계,1998-01-01,원지수 (2020=100),23.4
컴퓨터사무용기계,1998-01-01,계절조정지수 (2020=100),24.1
컴퓨터사무용기계,1998-02-01,원지수 (2020=100),22.6
컴퓨터사무용기계,1998-02-01,계절조정지수 (2020=100),23.1
컴퓨터사무용기계,1998-03-01,원지수 (2020=100),21.5
컴퓨터사무용기계,1998-03-01,계절조정지수 (2020=100),18.9
컴퓨터사무용기계,1998-04-01,원지수 (2020=100),18.6
컴퓨터사무용기계,1998-04-01,계절조정지수 (2020=100),17.5
컴퓨터사무용기계,1998-05-01,원지수 (2020=100),16.1
컴퓨터사무용기계,1998-05-01,계절조정지수 (2020=100),16.4
컴퓨터사무용기계,1998-06-01,원지수 (2020=100),14.3
컴퓨터사무용기계,1998-06-01,계절조정지수 (2020=100),14.6
컴퓨터사무용기계,1998-07-01,원지수 (2020=100),15.4
컴퓨터사무용기계,1998-07-01,계절조정지수 (2020=100),16.4
컴퓨터사무용기계,1998-08-01,원지수 (2020=100),14.7
컴퓨터사무용기계,1998-08-01,계절조정지수 (2020=100),15.8
컴퓨터사무용기계,1998-09-01,원지수 (2020=100),18.8
컴퓨터사무용기계,1998-09-01,계절조정지수 (2020=100),20.4
컴퓨터사무용기계,1998-10-01,원지수 (2020=100),19.4
컴퓨터사무용기계,1998-10-01,계절조정지수 (2020=100),20.4
컴퓨터사무용기계,1998-11-01,원지수 (2020=100),25.3
컴퓨터사무용기계,1998-11-01,계절조정지수 (2020=100),25.4
컴퓨터사무용기계,1998-12-01,원지수 (2020=100),30.1
컴퓨터사무용기계,1998-12-01,계절조정지수 (2020=100),25.8
컴퓨터사무용기계,1999-01-01,원지수 (2020=100),30.2
컴퓨터사무용기계,1999-01-01,계절조정지수 (2020=100),30.4
컴퓨터사무용기계,1999-02-01,원지수 (2020=100),29.1
컴퓨터사무용기계,1999-02-01,계절조정지수 (2020=100),31.1
컴퓨터사무용기계,1999-03-01,원지수 (2020=100),35.2
컴퓨터사무용기계,1999-03-01,계절조정지수 (2020=100),30.7
컴퓨터사무용기계,1999-04-01,원지수 (2020=100),39.8
컴퓨터사무용기계,1999-04-01,계절조정지수 (2020=100),37.9
컴퓨터사무용기계,1999-05-01,원지수 (2020=100),41.9
컴퓨터사무용기계,1999-05-01,계절조정지수 (2020=100),43.6
컴퓨터사무용기계,1999-06-01,원지수 (2020=100),46.0
컴퓨터사무용기계,1999-06-01,계절조정지수 (2020=100),45.8
컴퓨터사무용기계,1999-07-01,원지수 (2020=100),41.2
컴퓨터사무용기계,1999-07-01,계절조정지수 (2020=100),43.8
컴퓨터사무용기계,1999-08-01,원지수 (2020=100),42.0
컴퓨터사무용기계,1999-08-01,계절조정지수 (2020=100),44.6
컴퓨터사무용기계,1999-09-01,원지수 (2020=100),37.3
컴퓨터사무용기계,1999-09-01,계절조정지수 (2020=100),41.4
컴퓨터사무용기계,1999-10-01,원지수 (2020=100),35.3
컴퓨터사무용기계,1999-10-01,계절조정지수 (2020=100),36.2
컴퓨터사무용기계,1999-11-01,원지수 (2020=100),61.1
컴퓨터사무용기계,1999-11-01,계절조정지수 (2020=100),60.7
컴퓨터사무용기계,1999-12-01,원지수 (2020=100),58.7
컴퓨터사무용기계,1999-12-01,계절조정지수 (2020=100),50.2
컴퓨터사무용기계,2000-01-01,원지수 (2020=100),51.6
컴퓨터사무용기계,2000-01-01,계절조정지수 (2020=100),56.9
컴퓨터사무용기계,2000-02-01,원지수 (2020=100),53.8
컴퓨터사무용기계,2000-02-01,계절조정지수 (2020=100),56.9
컴퓨터사무용기계,2000-03-01,원지수 (2020=100),64.8
컴퓨터사무용기계,2000-03-01,계절조정지수 (2020=100),54.6
컴퓨터사무용기계,2000-04-01,원지수 (2020=100),62.9
컴퓨터사무용기계,2000-04-01,계절조정지수 (2020=100),60.1
컴퓨터사무용기계,2000-05-01,원지수 (2020=100),56.3
컴퓨터사무용기계,2000-05-01,계절조정지수 (2020=100),61.0
컴퓨터사무용기계,2000-06-01,원지수 (2020=100),60.3
컴퓨터사무용기계,2000-06-01,계절조정지수 (2020=100),60.8
컴퓨터사무용기계,2000-07-01,원지수 (2020=100),61.0
컴퓨터사무용기계,2000-07-01,계절조정지수 (2020=100),65.2
컴퓨터사무용기계,2000-08-01,원지수 (2020=100),70.5
컴퓨터사무용기계,2000-08-01,계절조정지수 (2020=100),84.4
컴퓨터사무용기계,2000-09-01,원지수 (2020=100),60.5
컴퓨터사무용기계,2000-09-01,계절조정지수 (2020=100),62.0
컴퓨터사무용기계,2000-10-01,원지수 (2020=100),64.4
컴퓨터사무용기계,2000-10-01,계절조정지수 (2020=100),61.9
컴퓨터사무용기계,2000-11-01,원지수 (2020=100),54.6
컴퓨터사무용기계,2000-11-01,계절조정지수 (2020=100),55.5
컴퓨터사무용기계,2000-12-01,원지수 (2020=100),70.0
컴퓨터사무용기계,2000-12-01,계절조정지수 (2020=100),57.4
컴퓨터사무용기계,2001-01-01,원지수 (2020=100),53.2
컴퓨터사무용기계,2001-01-01,계절조정지수 (2020=100),60.7
컴퓨터사무용기계,2001-02-01,원지수 (2020=100),50.9
컴퓨터사무용기계,2001-02-01,계절조정지수 (2020=100),52.4
컴퓨터사무용기계,2001-03-01,원지수 (2020=100),67.5
컴퓨터사무용기계,2001-03-01,계절조정지수 (2020=100),56.7
컴퓨터사무용기계,2001-04-01,원지수 (2020=100),60.1
컴퓨터사무용기계,2001-04-01,계절조정지수 (2020=100),57.1
컴퓨터사무용기계,2001-05-01,원지수 (2020=100),47.5
컴퓨터사무용기계,2001-05-01,계절조정지수 (2020=100),51.2
컴퓨터사무용기계,2001-06-01,원지수 (2020=100),63.0
컴퓨터사무용기계,2001-06-01,계절조정지수 (2020=100),63.4
컴퓨터사무용기계,2001-07-01,원지수 (2020=100),50.6
컴퓨터사무용기계,2001-07-01,계절조정지수 (2020=100),54.3
컴퓨터사무용기계,2001-08-01,원지수 (2020=100),42.6
컴퓨터사무용기계,2001-08-01,계절조정지수 (2020=100),50.5
컴퓨터사무용기계,2001-09-01,원지수 (2020=100),51.6
컴퓨터사무용기계,2001-09-01,계절조정지수 (2020=100),51.8
컴퓨터사무용기계,2001-10-01,원지수 (2020=100),64.6
컴퓨터사무용기계,2001-10-01,계절조정지수 (2020=100),63.1
컴퓨터사무용기계,2001-11-01,원지수 (2020=100),59.6
컴퓨터사무용기계,2001-11-01,계절조정지수 (2020=100),60.4
컴퓨터사무용기계,2001-12-01,원지수 (2020=100),76.8
컴퓨터사무용기계,2001-12-01,계절조정지수 (2020=100),63.3
컴퓨터사무용기계,2002-01-01,원지수 (2020=100),55.6
컴퓨터사무용기계,2002-01-01,계절조정지수 (2020=100),60.0
컴퓨터사무용기계,2002-02-01,원지수 (2020=100),57.7
컴퓨터사무용기계,2002-02-01,계절조정지수 (2020=100),62.3
컴퓨터사무용기계,2002-03-01,원지수 (2020=100),72.5
컴퓨터사무용기계,2002-03-01,계절조정지수 (2020=100),61.0
컴퓨터사무용기계,2002-04-01,원지수 (2020=100),63.6
컴퓨터사무용기계,2002-04-01,계절조정지수 (2020=100),60.4
컴퓨터사무용기계,2002-05-01,원지수 (2020=100),62.8
컴퓨터사무용기계,2002-05-01,계절조정지수 (2020=100),67.4
컴퓨터사무용기계,2002-06-01,원지수 (2020=100),59.3
컴퓨터사무용기계,2002-06-01,계절조정지수 (2020=100),60.5
컴퓨터사무용기계,2002-07-01,원지수 (2020=100),54.3
컴퓨터사무용기계,2002-07-01,계절조정지수 (2020=100),58.7
컴퓨터사무용기계,2002-08-01,원지수 (2020=100),53.6
컴퓨터사무용기계,2002-08-01,계절조정지수 (2020=100),62.4
컴퓨터사무용기계,2002-09-01,원지수 (2020=100),74.6
컴퓨터사무용기계,2002-09-01,계절조정지수 (2020=100),76.0
컴퓨터사무용기계,2002-10-01,원지수 (2020=100),66.8
컴퓨터사무용기계,2002-10-01,계절조정지수 (2020=100),64.9
컴퓨터사무용기계,2002-11-01,원지수 (2020=100),65.8
컴퓨터사무용기계,2002-11-01,계절조정지수 (2020=100),66.5
컴퓨터사무용기계,2002-12-01,원지수 (2020=100),78.2
컴퓨터사무용기계,2002-12-01,계절조정지수 (2020=100),65.8
컴퓨터사무용기계,2003-01-01,원지수 (2020=100),52.8
컴퓨터사무용기계,2003-01-01,계절조정지수 (2020=100),57.1
컴퓨터사무용기계,2003-02-01,원지수 (2020=100),54.7
컴퓨터사무용기계,2003-02-01,계절조정지수 (2020=100),57.3
컴퓨터사무용기계,2003-03-01,원지수 (2020=100),71.4
컴퓨터사무용기계,2003-03-01,계절조정지수 (2020=100),59.8
컴퓨터사무용기계,2003-04-01,원지수 (2020=100),62.5
컴퓨터사무용기계,2003-04-01,계절조정지수 (2020=100),60.2
컴퓨터사무용기계,2003-05-01,원지수 (2020=100),49.9
컴퓨터사무용기계,2003-05-01,계절조정지수 (2020=100),54.7
컴퓨터사무용기계,2003-06-01,원지수 (2020=100),56.4
컴퓨터사무용기계,2003-06-01,계절조정지수 (2020=100),56.8
컴퓨터사무용기계,2003-07-01,원지수 (2020=100),50.0
컴퓨터사무용기계,2003-07-01,계절조정지수 (2020=100),54.1
컴퓨터사무용기계,2003-08-01,원지수 (2020=100),44.9
컴퓨터사무용기계,2003-08-01,계절조정지수 (2020=100),51.3
컴퓨터사무용기계,2003-09-01,원지수 (2020=100),52.4
컴퓨터사무용기계,2003-09-01,계절조정지수 (2020=100),53.3
컴퓨터사무용기계,2003-10-01,원지수 (2020=100),47.0
컴퓨터사무용기계,2003-10-01,계절조정지수 (2020=100),46.3
컴퓨터사무용기계,2003-11-01,원지수 (2020=100),45.4
컴퓨터사무용기계,2003-11-01,계절조정지수 (2020=100),46.3
컴퓨터사무용기계,2003-12-01,원지수 (2020=100),48.7
컴퓨터사무용기계,2003-12-01,계절조정지수 (2020=100),40.7
컴퓨터사무용기계,2004-01-01,원지수 (2020=100),36.8
컴퓨터사무용기계,2004-01-01,계절조정지수 (2020=100),40.1
컴퓨터사무용기계,2004-02-01,원지수 (2020=100),48.4
컴퓨터사무용기계,2004-02-01,계절조정지수 (2020=100),49.6
컴퓨터사무용기계,2004-03-01,원지수 (2020=100),58.1
컴퓨터사무용기계,2004-03-01,계절조정지수 (2020=100),48.2
컴퓨터사무용기계,2004-04-01,원지수 (2020=100),43.4
컴퓨터사무용기계,2004-04-01,계절조정지수 (2020=100),42.9
컴퓨터사무용기계,2004-05-01,원지수 (2020=100),29.1
컴퓨터사무용기계,2004-05-01,계절조정지수 (2020=100),32.2
컴퓨터사무용기계,2004-06-01,원지수 (2020=100),40.9
컴퓨터사무용기계,2004-06-01,계절조정지수 (2020=100),40.2
컴퓨터사무용기계,2004-07-01,원지수 (2020=100),46.2
컴퓨터사무용기계,2004-07-01,계절조정지수 (2020=100),50.3
컴퓨터사무용기계,2004-08-01,원지수 (2020=100),49.7
컴퓨터사무용기계,2004-08-01,계절조정지수 (2020=100),54.8
컴퓨터사무용기계,2004-09-01,원지수 (2020=100),50.2
컴퓨터사무용기계,2004-09-01,계절조정지수 (2020=100),51.1
컴퓨터사무용기계,2004-10-01,원지수 (2020=100),51.1
컴퓨터사무용기계,2004-10-01,계절조정지수 (2020=100),50.8
컴퓨터사무용기계,2004-11-01,원지수 (2020=100),52.6
컴퓨터사무용기계,2004-11-01,계절조정지수 (2020=100),53.3
컴퓨터사무용기계,2004-12-01,원지수 (2020=100),68.1
컴퓨터사무용기계,2004-12-01,계절조정지수 (2020=100),57.8
컴퓨터사무용기계,2005-01-01,원지수 (2020=100),58.9
컴퓨터사무용기계,2005-01-01,계절조정지수 (2020=100),59.2
컴퓨터사무용기계,2005-02-01,원지수 (2020=100),54.8
컴퓨터사무용기계,2005-02-01,계절조정지수 (2020=100),52.9
컴퓨터사무용기계,2005-03-01,원지수 (2020=100),70.0
컴퓨터사무용기계,2005-03-01,계절조정지수 (2020=100),61.3
컴퓨터사무용기계,2005-04-01,원지수 (2020=100),56.8
컴퓨터사무용기계,2005-04-01,계절조정지수 (2020=100),62.1
컴퓨터사무용기계,2005-05-01,원지수 (2020=100),49.2
컴퓨터사무용기계,2005-05-01,계절조정지수 (2020=100),55.1
컴퓨터사무용기계,2005-06-01,원지수 (2020=100),54.2
컴퓨터사무용기계,2005-06-01,계절조정지수 (2020=100),52.3
컴퓨터사무용기계,2005-07-01,원지수 (2020=100),51.5
컴퓨터사무용기계,2005-07-01,계절조정지수 (2020=100),54.8
컴퓨터사무용기계,2005-08-01,원지수 (2020=100),50.4
컴퓨터사무용기계,2005-08-01,계절조정지수 (2020=100),53.3
컴퓨터사무용기계,2005-09-01,원지수 (2020=100),56.3
컴퓨터사무용기계,2005-09-01,계절조정지수 (2020=100),56.2
컴퓨터사무용기계,2005-10-01,원지수 (2020=100),54.8
컴퓨터사무용기계,2005-10-01,계절조정지수 (2020=100),54.8
컴퓨터사무용기계,2005-11-01,원지수 (2020=100),50.7
컴퓨터사무용기계,2005-11-01,계절조정지수 (2020=100),52.5
컴퓨터사무용기계,2005-12-01,원지수 (2020=100),58.7
컴퓨터사무용기계,2005-12-01,계절조정지수 (2020=100),52.3
컴퓨터사무용기계,2006-01-01,원지수 (2020=100),52.4
컴퓨터사무용기계,2006-01-01,계절조정지수 (2020=100),50.0
컴퓨터사무용기계,2006-02-01,원지수 (2020=100),53.9
컴퓨터사무용기계,2006-02-01,계절조정지수 (2020=100),55.9
컴퓨터사무용기계,2006-03-01,원지수 (2020=100),63.1
컴퓨터사무용기계,2006-03-01,계절조정지수 (2020=100),55.5
컴퓨터사무용기계,2006-04-01,원지수 (2020=100),52.2
컴퓨터사무용기계,2006-04-01,계절조정지수 (2020=100),55.9
컴퓨터사무용기계,2006-05-01,원지수 (2020=100),48.3
컴퓨터사무용기계,2006-05-01,계절조정지수 (2020=100),52.9
컴퓨터사무용기계,2006-06-01,원지수 (2020=100),54.0
컴퓨터사무용기계,2006-06-01,계절조정지수 (2020=100),51.8
컴퓨터사무용기계,2006-07-01,원지수 (2020=100),44.8
컴퓨터사무용기계,2006-07-01,계절조정지수 (2020=100),47.7
컴퓨터사무용기계,2006-08-01,원지수 (2020=100),52.9
컴퓨터사무용기계,2006-08-01,계절조정지수 (2020=100),56.1
컴퓨터사무용기계,2006-09-01,원지수 (2020=100),54.8
컴퓨터사무용기계,2006-09-01,계절조정지수 (2020=100),54.2
컴퓨터사무용기계,2006-10-01,원지수 (2020=100),54.7
컴퓨터사무용기계,2006-10-01,계절조정지수 (2020=100),54.2
컴퓨터사무용기계,2006-11-01,원지수 (2020=100),55.0
컴퓨터사무용기계,2006-11-01,계절조정지수 (2020=100),57.1
컴퓨터사무용기계,2006-12-01,원지수 (2020=100),99.5
컴퓨터사무용기계,2006-12-01,계절조정지수 (2020=100),89.0
컴퓨터사무용기계,2007-01-01,원지수 (2020=100),82.9
컴퓨터사무용기계,2007-01-01,계절조정지수 (2020=100),80.8
